"comparison","metric","point","ci_lo","ci_hi","boot_p","n_boot","method"
"leaky - guarded (GSE25055)","delta_auroc",0.0799,0.008,0.1514,0.026,2000,"paired stratified bootstrap"
"leaky - guarded (GSE25055)","delta_pr_auc",0.0781,-0.0423,0.1755,0.192,2000,"paired stratified bootstrap"
