"repeat_id","leaky_auroc","guarded_auroc","delta_auroc","leaky_pr_auc","guarded_pr_auc","delta_pr_auc","leaky_balanced_accuracy","guarded_balanced_accuracy","delta_balanced_accuracy","leaky_mcc","guarded_mcc","delta_mcc","leaky_sensitivity","guarded_sensitivity","delta_sensitivity","leaky_specificity","guarded_specificity","delta_specificity","leaky_brier_score","guarded_brier_score","delta_brier_score"
1,0.84217572042556,0.715211724089339,0.126963996336221,0.48968726762355,0.394019243861117,0.0956680237624326,0.589198900866624,0.569647009088988,0.0195518917776368,0.281014406839136,0.22472522249598,0.0562891843431559,0.210526315789474,0.175438596491228,0.0350877192982456,0.967871485943775,0.963855421686747,0.00401606425702816,0.119030821698649,0.138585107035597,-0.0195542853369478
2,0.804692454026632,0.772845769041076,0.0318466849855558,0.513266014461621,0.45679213231857,0.0564738821430513,0.575142675967026,0.554111181568379,0.0210314943986472,0.206286007416593,0.189275814630111,0.0170101927864816,0.210526315789474,0.140350877192982,0.0701754385964912,0.939759036144578,0.967871485943775,-0.0281124497991968,0.121677576784211,0.128151982399959,-0.00647440561574766
3,0.78616219263017,0.779398294934122,0.0067638976960479,0.383083795415852,0.404453377742958,-0.0213695823271063,0.536567321919256,0.585922637920101,-0.0493553160008455,0.136271428506117,0.235879780632475,-0.0996083521263584,0.105263157894737,0.228070175438596,-0.12280701754386,0.967871485943775,0.943775100401606,0.0240963855421688,0.131368057419802,0.133641148257802,-0.00227309083800048
4,0.812654125273022,0.745860635524554,0.0667934897484682,0.510052918888437,0.381417290609582,0.128635628278854,0.566899175649968,0.552103149439865,0.0147960262101036,0.241265786297404,0.177115957193342,0.0641498291040616,0.157894736842105,0.140350877192982,0.0175438596491228,0.975903614457831,0.963855421686747,0.0120481927710844,0.119553201789673,0.135459473339027,-0.0159062715493543
5,0.807581202000987,0.756851969280629,0.0507292327203579,0.425903277735351,0.407833781579907,0.0180694961554442,0.561614880574931,0.605474529697738,-0.043859649122807,0.181968230666937,0.284848069849482,-0.102879839182545,0.175438596491228,0.263157894736842,-0.087719298245614,0.947791164658635,0.947791164658635,0,0.124682869651735,0.136307434695515,-0.0116245650437801
6,0.803917424082294,0.731346438385119,0.0725709856971751,0.429170329560649,0.378682001450897,0.0504883281097517,0.572394842528007,0.563622912703445,0.00877192982456143,0.213804867936281,0.19178301160715,0.0220218563291308,0.192982456140351,0.175438596491228,0.0175438596491228,0.951807228915663,0.951807228915663,0,0.128402798953574,0.138869858055292,-0.0104670591017179
7,0.771788910026067,0.712393433382653,0.059395476643414,0.38684895380699,0.332074676854076,0.0547742769529141,0.548087085182837,0.5285351934052,0.0195518917776368,0.155159296260502,0.0944311809686023,0.0607281152918998,0.140350877192982,0.105263157894737,0.0350877192982456,0.955823293172691,0.951807228915663,0.00401606425702816,0.131894278800544,0.143932925180124,-0.01203864637958
8,0.787148594377508,0.696611005425209,0.0905375889522987,0.464830637540927,0.336082751947816,0.128747885593111,0.597970830691186,0.581906573663073,0.0160642570281125,0.301739252487904,0.217744388880047,0.0839948636078567,0.228070175438596,0.228070175438596,0,0.967871485943775,0.93574297188755,0.032128514056225,0.124727824851905,0.148302672096153,-0.0235748472442482
9,0.793560205735221,0.712675262453321,0.0808849432819002,0.409675925405587,0.344386854999444,0.0652890704061434,0.546079053054322,0.565630944831959,-0.0195518917776369,0.145168579836331,0.202136004093839,-0.0569674242575078,0.140350877192982,0.175438596491228,-0.0350877192982456,0.951807228915663,0.955823293172691,-0.00401606425702816,0.128532599549307,0.143207765366289,-0.0146751658169816
10,0.786655393503841,0.69308814204185,0.0935672514619905,0.474696638300348,0.371817560830406,0.102879077469942,0.602726696258719,0.584654407102093,0.0180722891566264,0.29752279363702,0.212509512962168,0.0850132806748521,0.245614035087719,0.245614035087719,0,0.959839357429719,0.923694779116466,0.0361445783132529,0.124558408056468,0.146819063167852,-0.0222606551113833
11,0.772775311773409,0.72338476713873,0.0493905446346793,0.383056509804312,0.360051667550901,0.0230048422534114,0.595434369055168,0.559606848446417,0.0358275206087508,0.239570649444242,0.172636682727654,0.0669339667165884,0.263157894736842,0.175438596491228,0.087719298245614,0.927710843373494,0.943775100401606,-0.0160642570281124,0.134832626709511,0.142497022545458,-0.00766439583594664
12,0.768618332981047,0.693722257450855,0.074896075530192,0.445701019068508,0.321812591892588,0.12388842717592,0.6285140562249,0.545550623546819,0.0829634326780808,0.30343001107967,0.11754772537572,0.18588228570395,0.333333333333333,0.175438596491228,0.157894736842105,0.923694779116466,0.91566265060241,0.00803212851405632,0.129889520382136,0.152975265250327,-0.0230857448681909
13,0.768900162051716,0.698583808919891,0.0703163531318253,0.404385035092321,0.353075223385757,0.0513098117065643,0.58993870217713,0.592158106108645,-0.00221940393151565,0.255676344925867,0.212877530881434,0.0427988140444333,0.228070175438596,0.280701754385965,-0.0526315789473684,0.951807228915663,0.903614457831325,0.0481927710843373,0.131952230597973,0.152696105128406,-0.0207438745304329
14,0.815049672373704,0.697597407172549,0.117452265201155,0.488545527558994,0.351728209115815,0.136817318443179,0.596702599873177,0.563622912703445,0.0330796871697316,0.265473553848358,0.19178301160715,0.0736905422412075,0.245614035087719,0.175438596491228,0.0701754385964912,0.947791164658635,0.951807228915663,-0.00401606425702805,0.121928400651704,0.146139276568037,-0.024210875916333
15,0.81519058690904,0.749453956175579,0.0657366307334613,0.444282109916299,0.421386004892924,0.0228961050233747,0.576410906785035,0.560875079264426,0.0155358275206087,0.23533708689186,0.201453186066352,0.0338839008255089,0.192982456140351,0.157894736842105,0.0350877192982456,0.959839357429719,0.963855421686747,-0.00401606425702816,0.124261863887378,0.13246326695878,-0.00820140307140228
16,0.801240047910943,0.759811174522651,0.0414288733882924,0.441464306271665,0.385881147883498,0.0555831583881672,0.616254491650814,0.566370746142465,0.0498837455083491,0.313960798431293,0.185343819009876,0.128616979421417,0.280701754385965,0.192982456140351,0.087719298245614,0.951807228915663,0.939759036144578,0.0120481927710843,0.125680879158661,0.135893995511801,-0.0102131163531399
17,0.78517579088283,0.687451560628479,0.0977242302543511,0.404343502705911,0.341401254168155,0.0629422485377558,0.579158740224054,0.592686535616149,-0.0135277953920947,0.225031236603378,0.246402360061679,-0.0213711234583016,0.210526315789474,0.245614035087719,-0.0350877192982456,0.947791164658635,0.939759036144578,0.00803212851405621,0.130486051477908,0.146989501583613,-0.0165034501057043
18,0.748749383498907,0.73973085323751,0.0090185302613971,0.385978469452765,0.398313031987783,-0.0123345625350179,0.576410906785035,0.583914605791587,-0.00750369900655257,0.23533708689186,0.226622612685861,0.00871447420599988,0.192982456140351,0.228070175438596,-0.0350877192982456,0.959839357429719,0.939759036144578,0.0200803212851405,0.133432108990077,0.140263731892713,-0.00683162290263573
19,0.777143662368774,0.742760515747199,0.0343831466215752,0.410118880741817,0.395271094686604,0.0148477860552126,0.567638976960473,0.592686535616149,-0.0250475586556753,0.213091493337733,0.246402360061679,-0.0333108667239461,0.175438596491228,0.245614035087719,-0.0701754385964912,0.959839357429719,0.939759036144578,0.0200803212851405,0.130062232240868,0.137659986208427,-0.00759775396755905
20,0.810258578172339,0.700838441485239,0.1094201366871,0.41864472204264,0.314424907222247,0.104219814820392,0.559606848446417,0.575882477277531,-0.016275628831114,0.172636682727654,0.193089352860045,-0.0204526701323914,0.175438596491228,0.228070175438596,-0.0526315789473684,0.943775100401606,0.923694779116466,0.0200803212851405,0.126692980084711,0.155448189766339,-0.0287552096816284
21,0.776720918762771,0.702529415909249,0.0741915028535214,0.396380125946905,0.317397912513994,0.0789822134329105,0.581166772352568,0.573134643838512,0.00803212851405632,0.235079738182337,0.19750988410405,0.0375698540782874,0.210526315789474,0.210526315789474,0,0.951807228915663,0.93574297188755,0.0160642570281124,0.131291118102944,0.150583636198743,-0.0192925180957983
22,0.739942225040512,0.671950961741704,0.0679912632988081,0.365251389508813,0.314676995691467,0.0505743938173456,0.546079053054322,0.560346649756922,-0.0142675967025999,0.145168579836331,0.160428446516783,-0.0152598666804524,0.140350877192982,0.192982456140351,-0.0526315789473684,0.951807228915663,0.927710843373494,0.0240963855421686,0.141912013133491,0.154944207936343,-0.0130321948028523
23,0.772704854505743,0.732121468329458,0.0405833861762849,0.367415821953337,0.371701579404862,-0.00428575745152449,0.561614880574931,0.548087085182837,0.0135277953920947,0.181968230666937,0.155159296260502,0.0268089344064348,0.175438596491228,0.140350877192982,0.0350877192982456,0.947791164658635,0.955823293172691,-0.00803212851405621,0.135128506127347,0.139876591373713,-0.00474808524636608
24,0.786584936236173,0.721341506376382,0.0652434298597908,0.418513721591104,0.440253851369983,-0.0217401297788787,0.532551257662228,0.616254491650814,-0.0837032339885859,0.113861232238426,0.313960798431293,-0.200099566192867,0.105263157894737,0.280701754385965,-0.175438596491228,0.959839357429719,0.951807228915663,0.00803212851405621,0.128402600545476,0.134579115382006,-0.00617651483653062
25,0.801240047910944,0.755795110265622,0.0454449376453218,0.446572727998179,0.435764873227617,0.0108078547705616,0.569647009088988,0.590678503487635,-0.0210314943986472,0.22472522249598,0.237441306236993,-0.0127160837410129,0.175438596491228,0.245614035087719,-0.0701754385964912,0.963855421686747,0.93574297188755,0.0281124497991968,0.124128006819076,0.134729779223111,-0.0106017724040352
26,0.777777777777778,0.707602339181287,0.0701754385964907,0.400268942350017,0.307517105809036,0.0927518365409807,0.563622912703445,0.508243500317058,0.0553794123863877,0.19178301160715,0.0330684978833747,0.158714513723775,0.175438596491228,0.0526315789473684,0.12280701754386,0.951807228915663,0.963855421686747,-0.0120481927710844,0.131537314587927,0.146379539314619,-0.0148422247266926
27,0.744310575635876,0.731416895652786,0.01289367998309,0.362651865969964,0.369430288683336,-0.0067784227133722,0.561614880574931,0.538046924540266,0.0235679560346649,0.181968230666937,0.110193627272971,0.0717746033939664,0.175438596491228,0.140350877192982,0.0350877192982456,0.947791164658635,0.93574297188755,0.0120481927710844,0.137342892559948,0.141002041848222,-0.0036591492882746
28,0.784893961812161,0.765588670471359,0.0193052913408025,0.401436615425584,0.426806715788661,-0.0253701003630764,0.586662439230607,0.594694567744663,-0.00803212851405632,0.220519873739885,0.255735341267671,-0.0352154675277868,0.245614035087719,0.245614035087719,0,0.927710843373494,0.943775100401606,-0.0160642570281124,0.130940449917442,0.133641882820181,-0.0027014329027385
29,0.792221517649545,0.746424293665891,0.0457972239836535,0.426906707378856,0.40702423362118,0.0198824737576756,0.591946734305644,0.543331219615303,0.0486155146903403,0.266301265909679,0.151568523434269,0.11473274247541,0.228070175438596,0.12280701754386,0.105263157894737,0.955823293172691,0.963855421686747,-0.00803212851405621,0.129142070587194,0.133778218950131,-0.00463614836293705
30,0.774607200732755,0.722327908123722,0.0522792926090334,0.413234021874929,0.356943613792718,0.0562904080822111,0.565630944831959,0.548826886493342,0.0168040583386176,0.202136004093839,0.141415155000312,0.0607208490935264,0.175438596491228,0.157894736842105,0.0175438596491228,0.955823293172691,0.939759036144578,0.0160642570281124,0.128546743149595,0.143414709068768,-0.014867965919173
