"repeat_id","arm","auroc","pr_auc","balanced_accuracy","mcc","sensitivity","specificity","brier_score"
1,"guarded_within_partition",0.715211724089339,0.394019243861117,0.569647009088988,0.22472522249598,0.175438596491228,0.963855421686747,0.138585107035597
2,"guarded_within_partition",0.772845769041076,0.45679213231857,0.554111181568379,0.189275814630111,0.140350877192982,0.967871485943775,0.128151982399959
3,"guarded_within_partition",0.779398294934122,0.404453377742958,0.585922637920101,0.235879780632475,0.228070175438596,0.943775100401606,0.133641148257802
4,"guarded_within_partition",0.745860635524554,0.381417290609582,0.552103149439865,0.177115957193342,0.140350877192982,0.963855421686747,0.135459473339027
5,"guarded_within_partition",0.756851969280629,0.407833781579907,0.605474529697738,0.284848069849482,0.263157894736842,0.947791164658635,0.136307434695515
6,"guarded_within_partition",0.731346438385119,0.378682001450897,0.563622912703445,0.19178301160715,0.175438596491228,0.951807228915663,0.138869858055292
7,"guarded_within_partition",0.712393433382653,0.332074676854076,0.5285351934052,0.0944311809686023,0.105263157894737,0.951807228915663,0.143932925180124
8,"guarded_within_partition",0.696611005425209,0.336082751947816,0.581906573663073,0.217744388880047,0.228070175438596,0.93574297188755,0.148302672096153
9,"guarded_within_partition",0.712675262453321,0.344386854999444,0.565630944831959,0.202136004093839,0.175438596491228,0.955823293172691,0.143207765366289
10,"guarded_within_partition",0.69308814204185,0.371817560830406,0.584654407102093,0.212509512962168,0.245614035087719,0.923694779116466,0.146819063167852
11,"guarded_within_partition",0.72338476713873,0.360051667550901,0.559606848446417,0.172636682727654,0.175438596491228,0.943775100401606,0.142497022545458
12,"guarded_within_partition",0.693722257450855,0.321812591892588,0.545550623546819,0.11754772537572,0.175438596491228,0.91566265060241,0.152975265250327
13,"guarded_within_partition",0.698583808919891,0.353075223385757,0.592158106108645,0.212877530881434,0.280701754385965,0.903614457831325,0.152696105128406
14,"guarded_within_partition",0.697597407172549,0.351728209115815,0.563622912703445,0.19178301160715,0.175438596491228,0.951807228915663,0.146139276568037
15,"guarded_within_partition",0.749453956175579,0.421386004892924,0.560875079264426,0.201453186066352,0.157894736842105,0.963855421686747,0.13246326695878
16,"guarded_within_partition",0.759811174522651,0.385881147883498,0.566370746142465,0.185343819009876,0.192982456140351,0.939759036144578,0.135893995511801
