"metric","n_repeats","leaky_mean","guarded_mean","mean_delta_leaky_minus_guarded","median_delta","sd_delta","empirical_q025","empirical_q975","n_delta_positive","interval_label"
"auroc",30,0.787014725568942,0.725557199558467,0.0614575260104752,0.065490030296626,0.0306227863370076,0.00839850630592607,0.120067991263298,30,"empirical split-distribution interval; not an independence-based CI"
"pr_auc",30,0.423745592713074,0.37328073249613,0.0504648602169444,0.0530420443297392,0.0486160944722518,-0.0227383716895331,0.13096697962688,24,"empirical split-distribution interval; not an independence-based CI"
"balanced_accuracy",30,0.574776298175157,0.568220249418728,0.00655604875642921,0.0141619108010991,0.033681696332385,-0.0588009934474741,0.0629650179666032,18,"empirical split-distribution interval; not an independence-based CI"
"mcc",30,0.219441899450121,0.192702948701962,0.0267389507481592,0.0357268774518981,0.0799511093763364,-0.129615264110384,0.166185651018323,20,"empirical split-distribution interval; not an independence-based CI"
"sensitivity",30,0.197076023391813,0.192397660818713,0.00467836257309941,0.0087719298245614,0.0738501478030198,-0.137280701754386,0.132456140350877,15,"empirical split-distribution interval; not an independence-based CI"
"specificity",30,0.952476572958501,0.944042838018742,0.00843373493975903,0.00803212851405627,0.0171152525984986,-0.0193775100401606,0.0394578313253011,19,"empirical split-distribution interval; not an independence-based CI"
"brier_score",30,0.128733968242241,0.141641116437445,-0.0129071481952038,-0.0118316057116801,0.00724674097861873,-0.0254605677017892,-0.00258363883493554,0,"empirical split-distribution interval; not an independence-based CI"
