"metric","leaky_point","guarded_point","delta_leaky_minus_guarded","delta_ci_lo","delta_ci_hi","n_boot","method"
"auroc",0.81519058690904,0.788064538857184,0.027126048051856,0.00161699429296165,0.0520696822377226,2000,"paired stratified patient bootstrap of repeat-averaged cross-fitted predictions; conditional on realized CV fits; no workflow refitting"
"pr_auc",0.473542638569281,0.472184644416757,0.00135799415252469,-0.0737797877549186,0.0794259958981171,2000,"paired stratified patient bootstrap of repeat-averaged cross-fitted predictions; conditional on realized CV fits; no workflow refitting"
"balanced_accuracy",0.565630944831959,0.570915239906996,-0.00528429507503703,-0.0531785034876347,0.0453709575142674,2000,"paired stratified patient bootstrap of repeat-averaged cross-fitted predictions; conditional on realized CV fits; no workflow refitting"
"mcc",0.202136004093839,0.273779664637674,-0.0716436605438354,-0.211480187007423,0.0792376262373221,2000,"paired stratified patient bootstrap of repeat-averaged cross-fitted predictions; conditional on realized CV fits; no workflow refitting"
"sensitivity",0.175438596491228,0.157894736842105,0.0175438596491228,-0.0701754385964912,0.105263157894737,2000,"paired stratified patient bootstrap of repeat-averaged cross-fitted predictions; conditional on realized CV fits; no workflow refitting"
"specificity",0.955823293172691,0.983935742971888,-0.0281124497991968,-0.0522088353413654,-0.00803212851405621,2000,"paired stratified patient bootstrap of repeat-averaged cross-fitted predictions; conditional on realized CV fits; no workflow refitting"
"brier_score",0.121785883134751,0.126778540109119,-0.00499265697436843,-0.0111999706269288,0.00153069856056922,2000,"paired stratified patient bootstrap of repeat-averaged cross-fitted predictions; conditional on realized CV fits; no workflow refitting"
