"top_k","leaky_auroc","guarded_auroc","gap_auroc","leaky_pr_auc","guarded_pr_auc","gap_pr_auc","leaky_bal_acc","guarded_bal_acc","leaky_mcc","guarded_mcc","leaky_sensitivity","guarded_sensitivity","leaky_specificity","guarded_specificity","nogueira","mean_jaccard","total_unique","stable_core","unstable_tail","runtime_secs"
25,0.8344,0.7342,0.1001,0.4961,0.3808,0.1154,0.578,0.5346,0.2662,0.1246,0.1825,0.1053,0.9735,0.9639,0.3513,0.218,73,3,44,7.3
50,0.8161,0.7204,0.0956,0.4695,0.3874,0.0821,0.5796,0.5581,0.2564,0.2166,0.193,0.1404,0.9663,0.9759,0.3846,0.2413,142,7,88,4.2
100,0.783,0.7032,0.0799,0.4257,0.3476,0.0781,0.5525,0.5724,0.1945,0.2138,0.1298,0.193,0.9751,0.9518,0.5128,0.3487,229,26,105,4.7
200,0.8212,0.7054,0.1157,0.4759,0.3463,0.1296,0.5922,0.5589,0.276,0.1899,0.2246,0.1579,0.9598,0.9598,0.5752,0.4087,418,66,173,7.1
