"repeat_id","outer_fold","arm","best_cost","cost","mean_inner_balanced_accuracy"
4,2,"leaky_global_selection",0.25,1,0.526944444444444
4,2,"leaky_global_selection",0.25,4,0.521944444444444
4,2,"guarded_within_partition",1,0.25,0.531666666666667
4,2,"guarded_within_partition",1,1,0.543888888888889
4,2,"guarded_within_partition",1,4,0.532777777777778
4,3,"leaky_global_selection",0.25,0.25,0.614465811965812
4,3,"leaky_global_selection",0.25,1,0.580277777777778
4,3,"leaky_global_selection",0.25,4,0.601260683760684
4,3,"guarded_within_partition",1,0.25,0.621047008547009
4,3,"guarded_within_partition",1,1,0.623547008547009
4,3,"guarded_within_partition",1,4,0.604935897435897
4,4,"leaky_global_selection",0.25,0.25,0.586260683760684
4,4,"leaky_global_selection",0.25,1,0.557863247863248
4,4,"leaky_global_selection",0.25,4,0.586196581196581
4,4,"guarded_within_partition",0.25,0.25,0.55292735042735
4,4,"guarded_within_partition",0.25,1,0.530705128205128
4,4,"guarded_within_partition",0.25,4,0.55042735042735
4,5,"leaky_global_selection",0.25,0.25,0.53292735042735
4,5,"leaky_global_selection",0.25,1,0.510769230769231
4,5,"leaky_global_selection",0.25,4,0.500769230769231
4,5,"guarded_within_partition",0.25,0.25,0.548568376068376
4,5,"guarded_within_partition",0.25,1,0.542521367521367
4,5,"guarded_within_partition",0.25,4,0.543568376068376
5,1,"leaky_global_selection",1,0.25,0.538269230769231
5,1,"leaky_global_selection",1,1,0.541816239316239
5,1,"leaky_global_selection",1,4,0.533269230769231
5,1,"guarded_within_partition",4,0.25,0.535363247863248
5,1,"guarded_within_partition",4,1,0.542863247863248
5,1,"guarded_within_partition",4,4,0.559038461538461
5,2,"leaky_global_selection",0.25,0.25,0.545555555555556
5,2,"leaky_global_selection",0.25,1,0.509722222222222
5,2,"leaky_global_selection",0.25,4,0.496111111111111
5,2,"guarded_within_partition",4,0.25,0.547457264957265
5,2,"guarded_within_partition",4,1,0.551068376068376
5,2,"guarded_within_partition",4,4,0.556068376068376
5,3,"leaky_global_selection",0.25,0.25,0.616260683760684
5,3,"leaky_global_selection",0.25,1,0.56508547008547
5,3,"leaky_global_selection",0.25,4,0.572649572649573
5,3,"guarded_within_partition",0.25,0.25,0.597371794871795
5,3,"guarded_within_partition",0.25,1,0.594871794871795
5,3,"guarded_within_partition",0.25,4,0.570149572649573
5,4,"leaky_global_selection",0.25,0.25,0.627435897435897
5,4,"leaky_global_selection",0.25,1,0.619935897435897
5,4,"leaky_global_selection",0.25,4,0.623547008547009
5,4,"guarded_within_partition",0.25,0.25,0.598888888888889
5,4,"guarded_within_partition",0.25,1,0.598824786324786
5,4,"guarded_within_partition",0.25,4,0.598824786324786
5,5,"leaky_global_selection",0.25,0.25,0.5875
5,5,"leaky_global_selection",0.25,1,0.570277777777778
5,5,"leaky_global_selection",0.25,4,0.576388888888889
5,5,"guarded_within_partition",4,0.25,0.536666666666667
5,5,"guarded_within_partition",4,1,0.530555555555556
5,5,"guarded_within_partition",4,4,0.550277777777778
6,1,"leaky_global_selection",4,0.25,0.512222222222222
6,1,"leaky_global_selection",4,1,0.523333333333333
6,1,"leaky_global_selection",4,4,0.536944444444444
6,1,"guarded_within_partition",0.25,0.25,0.552777777777778
6,1,"guarded_within_partition",0.25,1,0.525555555555556
6,1,"guarded_within_partition",0.25,4,0.518055555555556
6,2,"leaky_global_selection",0.25,0.25,0.5825
6,2,"leaky_global_selection",0.25,1,0.545491452991453
6,2,"leaky_global_selection",0.25,4,0.546602564102564
