"seed","is_anchor","leaky_auroc","leaky_pr_auc","leaky_balanced_accuracy","leaky_mcc","leaky_sensitivity","leaky_specificity","guarded_auroc","guarded_pr_auc","guarded_balanced_accuracy","guarded_mcc","guarded_sensitivity","guarded_specificity","gap_auroc","gap_pr_auc","guarded_best_costs","runtime_secs"
20260620,TRUE,0.783047981399282,0.42569750647668,0.552462481504967,0.194463931371644,0.129824561403509,0.975100401606426,0.703163531318256,0.3476121961286,0.572394842528007,0.213804867936281,0.192982456140351,0.951807228915663,0.0798844500810265,0.0780853103480801,"4|0.25|4|4|4",8.64392304420471
20260621,FALSE,0.776650461495104,0.407691311499694,0.539928133586979,0.149361558586293,0.108771929824561,0.971084337349398,0.75318819136194,0.424371983585521,0.567638976960473,0.213091493337733,0.175438596491228,0.959839357429719,0.0234622701331642,-0.016680672085827,"0.25|0.25|1|0.25|4",8.88637495040894
20260622,FALSE,0.772578031423942,0.406223354413317,0.544536038892412,0.158411047995206,0.12280701754386,0.966265060240964,0.74522652011555,0.350350791843279,0.548826886493342,0.141415155000312,0.157894736842105,0.939759036144578,0.0273515113083921,0.0558725625700385,"1|0.25|1|1|4",8.39736294746399
20260623,FALSE,0.774015359684351,0.390312808635636,0.536461636017755,0.125039797191428,0.112280701754386,0.960642570281124,0.735644331712816,0.406496920947678,0.547347283872331,0.176443930551273,0.12280701754386,0.971887550200803,0.0383710279715357,-0.0161841123120424,"1|0.25|1|0.25|0.25",8.25849890708923
20260624,FALSE,0.771647995490735,0.391600980156792,0.544430352990911,0.144665118179979,0.129824561403509,0.959036144578313,0.782427957443811,0.438013431134638,0.581166772352568,0.235079738182337,0.210526315789474,0.951807228915663,-0.0107799619530767,-0.0464124509778465,"0.25|0.25|4|4|0.25",8.36612391471863
20260625,FALSE,0.766617346579299,0.389856152293379,0.541217501585288,0.13017760385812,0.129824561403509,0.952610441767068,0.740646797717184,0.371991650744471,0.579158740224054,0.225031236603378,0.210526315789474,0.947791164658635,0.0259705488621146,0.0178645015489081,"0.25|4|0.25|4|0.25",8.37691712379456
20260626,FALSE,0.762981751567673,0.394440637898643,0.555400549566688,0.168284020867309,0.16140350877193,0.949397590361446,0.716057211301345,0.345879085142658,0.539315155358275,0.130105182667852,0.12280701754386,0.955823293172691,0.0469245402663285,0.0485615527559851,"0.25|1|1|4|0.25",8.53705286979675
20260627,FALSE,0.760036637779186,0.387279990372563,0.5571549355316,0.173345602461785,0.164912280701754,0.949397590361446,0.686958359754808,0.327527115194589,0.586662439230607,0.220519873739885,0.245614035087719,0.927710843373494,0.0730782780243783,0.0597528751779742,"0.25|1|0.25|4|4",8.43896889686584
20260628,FALSE,0.762037624180934,0.406868574894134,0.563622912703445,0.194750003481335,0.175438596491228,0.951807228915663,0.712322976114986,0.328304155380586,0.544071020925809,0.135733838497795,0.140350877192982,0.947791164658635,0.0497146480659482,0.0785644195135481,"1|4|0.25|0.25|0.25",8.66364884376526
20260629,FALSE,0.76859015007398,0.413401377798897,0.558761361234411,0.18319457638967,0.164912280701754,0.952610441767068,0.689494821390826,0.355576624841643,0.563622912703445,0.19178301160715,0.175438596491228,0.951807228915663,0.0790953286831539,0.0578247529572537,"0.25|1|1|4|0.25",8.70884108543396
20260630,FALSE,0.772352568167406,0.41755353957475,0.565884590995561,0.209104228853568,0.171929824561403,0.959839357429719,0.7238779680124,0.35297866449371,0.562354681885436,0.168397155522239,0.192982456140351,0.931726907630522,0.048474600155007,0.0645748750810407,"1|4|0.25|0.25|0.25",8.49693894386292
20260631,FALSE,0.781624744592405,0.428631557625921,0.566539843584866,0.217257617387937,0.168421052631579,0.964658634538153,0.693933629253857,0.333679237825418,0.573134643838512,0.19750988410405,0.210526315789474,0.93574297188755,0.0876911153385479,0.0949523198005036,"1|1|1|0.25|0.25",8.57052206993103
20260632,FALSE,0.783837102797153,0.433435603053261,0.566138237159163,0.215133639766617,0.168421052631579,0.963855421686747,0.691538082153174,0.335911040986551,0.600190234622701,0.242135996913785,0.280701754385965,0.919678714859438,0.0922990206439797,0.0975245620667106,"0.25|1|0.25|4|1",8.79899382591248
20260633,FALSE,0.77807369830198,0.413052930750352,0.568442189811879,0.216836503254621,0.175438596491228,0.96144578313253,0.699781582470231,0.364075511665063,0.55284295075037,0.159288215620557,0.157894736842105,0.947791164658635,0.0782921158317488,0.0489774190852887,"1|0.25|0.25|0.25|0.25",8.99436092376709
20260634,FALSE,0.77811597266258,0.405343319902093,0.561572606214331,0.192417723288094,0.164912280701754,0.958232931726908,0.739096737828506,0.36830121506009,0.550095117311351,0.165779184367102,0.140350877192982,0.959839357429719,0.0390192348340738,0.0370421048420032,"0.25|4|0.25|4|0.25",8.63597989082336
20260635,FALSE,0.778862819699852,0.409518156619426,0.556309448319594,0.178430324709076,0.154385964912281,0.958232931726908,0.756711054745296,0.388036742376119,0.577890509406045,0.201003883067067,0.228070175438596,0.927710843373494,0.0221517649545558,0.021481414243307,"4|1|0.25|0.25|1",8.98801517486572
20260636,FALSE,0.769111533854717,0.397858040254953,0.555104629042486,0.171780708278645,0.154385964912281,0.955823293172691,0.699992954273234,0.351853518249444,0.593426336926654,0.231479485183623,0.263157894736842,0.923694779116466,0.0691185795814833,0.0460045220055089,"0.25|1|0.25|4|0.25",14.8436861038208
20260637,FALSE,0.764559994363418,0.385649725784909,0.550243077573452,0.157900445208824,0.143859649122807,0.956626506024096,0.740646797717183,0.382226131158285,0.554850982878884,0.168934921295817,0.157894736842105,0.951807228915663,0.0239131966462354,0.00342359462662445,"0.25|0.25|1|4|4",14.3941330909729
20260638,FALSE,0.766110054252096,0.397744442086971,0.550243077573452,0.157900445208824,0.143859649122807,0.956626506024096,0.740294511378848,0.412109463720881,0.579898541534559,0.209214018082945,0.228070175438596,0.931726907630522,0.0258155428732479,-0.0143650216339097,"0.25|0.25|0.25|0.25|1",14.6939589977264
20260639,FALSE,0.765884590995561,0.400840468777439,0.558465440710209,0.1847546994626,0.157894736842105,0.959036144578313,0.711829775241314,0.331127163693958,0.562354681885436,0.168397155522239,0.192982456140351,0.931726907630522,0.0540548157542463,0.0697133050834814,"4|1|0.25|4|0.25",14.5293848514557
20260640,FALSE,0.757951102656239,0.387079442430009,0.558063834284506,0.182487344897352,0.157894736842105,0.958232931726908,0.698372437116888,0.311688156684592,0.571126611709998,0.189086417698415,0.210526315789474,0.931726907630522,0.0595786655393509,0.0753912857454174,"1|1|0.25|4|4",7.84879994392395
20260641,FALSE,0.752751356302402,0.37935267981581,0.554703022616783,0.170774412328947,0.154385964912281,0.955020080321285,0.661170999788627,0.311322935747047,0.577890509406045,0.201003883067067,0.228070175438596,0.927710843373494,0.0915803565137747,0.0680297440687636,"0.25|0.25|0.25|0.25|0.25",7.74746203422546
20260642,FALSE,0.760741210455859,0.396480262232113,0.560114140773621,0.183649134826186,0.168421052631579,0.951807228915663,0.728880434016769,0.336561895679556,0.573874445149017,0.185448376480095,0.228070175438596,0.919678714859438,0.0318607764390898,0.0599183665525577,"4|0.25|0.25|0.25|0.25",7.82384276390076
20260643,FALSE,0.760825759177059,0.387786269625706,0.55861340097231,0.18745891318942,0.16140350877193,0.955823293172691,0.722046079053055,0.439679806164081,0.625026421475375,0.332376273606576,0.298245614035088,0.951807228915663,0.0387796801240037,-0.0518935365383753,"0.25|0.25|1|1|4",7.55259704589844
20260644,FALSE,0.754667793982949,0.381303261061056,0.555104629042486,0.177481980663004,0.154385964912281,0.955823293172691,0.766293243148032,0.447816056868117,0.609490593954766,0.305758274672344,0.263157894736842,0.955823293172691,-0.0116254491650828,-0.0665127958070613,"4|0.25|0.25|4|0.25",7.50351095199585
20260645,FALSE,0.758317480448108,0.384533424797422,0.554850982878884,0.172609174789646,0.157894736842105,0.951807228915663,0.718875502008031,0.321400965550269,0.519763263580638,0.0671819147974745,0.087719298245614,0.951807228915663,0.0394419784400768,0.0631324592471532,"0.25|0.25|1|0.25|4",7.57203602790833
20260646,FALSE,0.768829704784048,0.405456200503451,0.550095117311351,0.16817287513978,0.140350877192982,0.959839357429719,0.728880434016768,0.369815083220633,0.555590784189389,0.155240205094259,0.175438596491228,0.93574297188755,0.0399492707672801,0.0356411172828177,"4|1|4|1|1",7.5953369140625
20260647,FALSE,0.76284083703234,0.398044637649963,0.548192771084337,0.166240811739205,0.133333333333333,0.963052208835341,0.762277178891002,0.432101821921626,0.576410906785035,0.23533708689186,0.192982456140351,0.959839357429719,0.000563658141337409,-0.0340571842716631,"0.25|0.25|4|0.25|4",7.25277495384216
20260648,FALSE,0.755090537588952,0.396472298043866,0.543479179877404,0.148725923773515,0.126315789473684,0.960642570281125,0.750158528852251,0.410656217557806,0.560875079264426,0.201453186066352,0.157894736842105,0.963855421686747,0.00493200873670152,-0.0141839195139396,"4|0.25|1|0.25|4",7.20886516571045
20260649,FALSE,0.758162474459241,0.399656558302988,0.54713591206933,0.154805865220048,0.136842105263158,0.957429718875502,0.705981822024941,0.371297158985518,0.571126611709998,0.189086417698415,0.210526315789474,0.931726907630522,0.0521806524342996,0.0283593993174704,"4|4|0.25|1|0.25",6.98276686668396
