"permutation_id","is_identity","leaky_auroc","leaky_pr_auc","leaky_balanced_accuracy","leaky_mcc","leaky_sensitivity","leaky_specificity","guarded_auroc","guarded_pr_auc","guarded_balanced_accuracy","guarded_mcc","guarded_sensitivity","guarded_specificity","gap_auroc","gap_pr_auc","runtime_secs"
0,TRUE,0.783047981399282,0.42569750647668,0.552462481504967,0.194463931371644,0.129824561403509,0.975100401606426,0.703163531318256,0.3476121961286,0.572394842528007,0.213804867936281,0.192982456140351,0.951807228915663,0.0798844500810265,0.0780853103480801,13.0648701190948
1,FALSE,0.8427393785669,0.616965072101876,0.693595434369055,0.457984547376553,0.43859649122807,0.94859437751004,0.479250334672021,0.197475645448172,0.521242866201649,0.0583171413371802,0.12280701754386,0.919678714859438,0.363489043894879,0.419489426653705,12.411957025528
2,FALSE,0.886676530684142,0.666279857175291,0.716148805749313,0.490702407575842,0.487719298245614,0.944578313253012,0.53462974705841,0.203019889393706,0.509723102938068,0.0293090316741824,0.087719298245614,0.931726907630522,0.352046783625732,0.463259967781585,12.3859360218048
3,FALSE,0.812625942365955,0.528953147229913,0.648087085182837,0.385674761468619,0.340350877192982,0.955823293172691,0.435355456915381,0.157889062064619,0.4713591206933,-0.0814198466215159,0.0350877192982456,0.907630522088353,0.377270485450574,0.371064085165294,12.4954559803009
4,FALSE,0.904319030508,0.741812106568771,0.746734305643627,0.561854134903202,0.536842105263158,0.956626506024096,0.423025435073628,0.177091232755771,0.496935108856479,-0.00905159294912722,0.0701754385964912,0.923694779116466,0.481293595434372,0.564720873813,7.27285218238831
5,FALSE,0.773733530613682,0.39962129432649,0.596998520397379,0.258110045531952,0.252631578947368,0.94136546184739,0.466215740153597,0.18239291523467,0.525998731769182,0.0680775773127043,0.140350877192982,0.911646586345382,0.307517790460085,0.21722837909182,7.59152388572693
6,FALSE,0.84660043683506,0.526752804105132,0.642760515747199,0.347837019844207,0.347368421052632,0.938152610441767,0.46015641513422,0.161281955837745,0.462058761361234,-0.0928239262754115,0.0526315789473684,0.8714859437751,0.386444021700839,0.365470848267386,7.30952715873718
7,FALSE,0.897019657577679,0.697620435055847,0.750834918621856,0.549182533228949,0.557894736842105,0.943775100401606,0.456492637215529,0.17276146942019,0.509934474741069,0.0234559383564876,0.140350877192982,0.879518072289157,0.440527020362151,0.524858965635657,7.30234384536743
8,FALSE,0.963629958430213,0.892046406820638,0.859480025364616,0.766496997916271,0.743859649122807,0.975100401606426,0.45001056859015,0.172775095545239,0.477383217078842,-0.0681753562855982,0.0350877192982456,0.919678714859438,0.513619389840063,0.719271311275399,7.66457200050354
9,FALSE,0.929246811808639,0.823069498558997,0.810251532445572,0.680529531377602,0.652631578947368,0.967871485943775,0.514831254843937,0.194614103163388,0.498943140984993,-0.00318576431241113,0.0701754385964912,0.927710843373494,0.414415556964702,0.62845539539561,7.46442794799805
10,FALSE,0.861001902346228,0.617286682749327,0.700612978228704,0.471668573814161,0.452631578947368,0.94859437751004,0.510674276051574,0.197459535729169,0.508454872120059,0.0228335126131849,0.105263157894737,0.911646586345382,0.350327626294654,0.419827147020158,7.73409914970398
11,FALSE,0.976044528993166,0.904082140434527,0.874719932361023,0.791992146389304,0.771929824561403,0.977510040160643,0.531529627281053,0.210469318235413,0.506975269499049,0.0230831775701028,0.0701754385964912,0.943775100401606,0.444514901712113,0.693612822199114,7.45671820640564
12,FALSE,0.888762065807089,0.706812931705867,0.752589304586768,0.551562200138058,0.56140350877193,0.943775100401606,0.391178750088071,0.144965137973271,0.473367152821814,-0.0771355390910794,0.0350877192982456,0.911646586345382,0.497583315719018,0.561847793732596,6.71037578582764
13,FALSE,0.722158810681321,0.352710184842753,0.555358275206087,0.177581521953921,0.150877192982456,0.959839357429719,0.434791798774044,0.157753087354676,0.476643415768336,-0.0793968083970153,0.0175438596491228,0.93574297188755,0.287367011907277,0.194957097488078,7.0583610534668
14,FALSE,0.840019728034947,0.580721509940109,0.66577890509406,0.414442989131197,0.378947368421053,0.952610441767068,0.529415909251039,0.187704780788,0.489642781652928,-0.0263548141786691,0.087719298245614,0.891566265060241,0.310603818783908,0.393016729152108,7.04653382301331
15,FALSE,0.759050236031846,0.385334712363488,0.58000422743606,0.21602160472627,0.221052631578947,0.938955823293173,0.519551891777637,0.226836945072189,0.50718664130205,0.0178061142448941,0.12280701754386,0.891566265060241,0.239498344254209,0.158497767291299,7.14178991317749
16,FALSE,0.831184386669485,0.600091630986065,0.688184316212217,0.455258700142944,0.424561403508772,0.951807228915663,0.494398647220461,0.173943904795867,0.480131050517861,-0.0554850923150585,0.0526315789473684,0.907630522088353,0.336785739449025,0.426147726190197,6.91263389587402
17,FALSE,0.94111181568379,0.839349766127998,0.822278588036356,0.691640078925578,0.680701754385965,0.963855421686747,0.439089692101741,0.159617575845595,0.490911012470936,-0.0253814783994416,0.0701754385964912,0.911646586345382,0.502022123582049,0.679732190282403,6.79263210296631
18,FALSE,0.825280067638977,0.564711278854995,0.671528218135701,0.395670176375657,0.410526315789474,0.932530120481928,0.426900584795322,0.166286056925456,0.511202705559078,0.0285062275810095,0.12280701754386,0.899598393574297,0.398379482843656,0.398425221929539,6.83568978309631
19,FALSE,0.898273796942156,0.704828046687928,0.749080532656944,0.544220813685277,0.554385964912281,0.943775100401606,0.44155569647009,0.155672242729018,0.464066793489748,-0.0890305712244703,0.0526315789473684,0.875502008032129,0.456718100472066,0.54915580395891,6.89878296852112
20,FALSE,0.847474106954133,0.638038854480193,0.696406679348975,0.472543401175327,0.43859649122807,0.954216867469879,0.534488832523074,0.213335973449648,0.521242866201649,0.0583171413371802,0.12280701754386,0.919678714859438,0.312985274431059,0.424702881030545,6.58577990531921
21,FALSE,0.938702177129572,0.821287645725485,0.778270978651448,0.631607622065102,0.589473684210526,0.967068273092369,0.512647079546255,0.189245258418455,0.498414711477489,-0.00397957889442263,0.105263157894737,0.891566265060241,0.426055097583317,0.63204238730703,6.27450585365295
22,FALSE,0.864989783696188,0.707686770830187,0.75144789685056,0.574458408523898,0.543859649122807,0.959036144578313,0.363770872965547,0.142308187879953,0.4713591206933,-0.0814198466215159,0.0350877192982456,0.907630522088353,0.501218910730641,0.565378582950234,6.43924903869629
23,FALSE,0.65050376946382,0.272540704142253,0.501648700063412,NA,0.0105263157894737,0.992771084337349,0.489748467554428,0.18998235302607,0.494187275417459,-0.0187555193281926,0.0526315789473684,0.93574297188755,0.160755301909392,0.0825583511161823,6.88350486755371
24,FALSE,0.867512153878673,0.615819068533719,0.715049672373705,0.496812631340164,0.480701754385965,0.949397590361446,0.571901641654337,0.249005382275424,0.517966603255126,0.0445152856122352,0.140350877192982,0.895582329317269,0.295610512224336,0.366813686258294,6.52973890304565
25,FALSE,0.910674276051575,0.761357125958853,0.76277742549144,0.595990230848096,0.564912280701754,0.960642570281125,0.570140209962658,0.255106048100597,0.518495032762629,0.0546216815895608,0.105263157894737,0.931726907630522,0.340534066088918,0.506251077858256,6.50681805610657
26,FALSE,0.816994292961319,0.483316502010911,0.619805537941239,0.306240268906656,0.298245614035088,0.94136546184739,0.53709575142676,0.195113293361528,0.480131050517861,-0.0554850923150585,0.0526315789473684,0.907630522088353,0.27989854153456,0.288203208649384,6.47848391532898
27,FALSE,0.822208130768689,0.516979046727692,0.62707672796449,0.328024580952957,0.308771929824561,0.945381526104418,0.563024025928275,0.246309738948582,0.529274994715705,0.0864583188589049,0.12280701754386,0.93574297188755,0.259184104840414,0.27066930777911,6.50427794456482
28,FALSE,0.941534559289792,0.816568698432791,0.835954343690552,0.692791828611808,0.719298245614035,0.952610441767068,0.52666807581202,0.195568061515624,0.510462904248573,0.0287233681212977,0.105263157894737,0.91566265060241,0.414866483477772,0.621000636917167,6.5940318107605
29,FALSE,0.890199394067498,0.675351987685541,0.710737687592475,0.486875998141373,0.473684210526316,0.947791164658635,0.576763193123371,0.214157001003846,0.490911012470936,-0.0253814783994416,0.0701754385964912,0.911646586345382,0.313436200944127,0.461194986681695,6.53109312057495
30,FALSE,0.853984358486578,0.573758852040674,0.66998520397379,0.412894793709267,0.392982456140351,0.946987951807229,0.472204607905306,0.183781432452104,0.503699006552526,0.0105154783459522,0.087719298245614,0.919678714859438,0.381779750581273,0.38997741958857,6.65891790390015
31,FALSE,0.969196082575917,0.893518938460186,0.864087930670049,0.763623400441462,0.757894736842105,0.970281124497992,0.47530472768266,0.195922799848947,0.494187275417459,-0.0187555193281926,0.0526315789473684,0.93574297188755,0.493891354893257,0.697596138611239,6.31508111953735
32,FALSE,0.862467413513705,0.614651986884348,0.698351299936588,0.454512844987338,0.456140350877193,0.940562248995984,0.506658211794546,0.186820771233376,0.497674910166984,-0.00627921596862586,0.087719298245614,0.907630522088353,0.355809201719158,0.427831215650972,6.72819113731384
33,FALSE,0.882519551891778,0.638833291156495,0.716191080109913,0.477854071292326,0.498245614035088,0.934136546184739,0.508278728950891,0.183756480833357,0.466603255125766,-0.100670152272192,0.0175438596491228,0.91566265060241,0.374240822940887,0.455076810323138,6.74549198150635
34,FALSE,0.846163601775524,0.558799631072046,0.685119425068696,0.433970722881462,0.428070175438596,0.942168674698795,0.530472768266046,0.228702315277967,0.521242866201649,0.0583171413371802,0.12280701754386,0.919678714859438,0.315690833509478,0.330097315794079,6.75306701660156
35,FALSE,0.902473050095118,0.744448759420199,0.776601141407736,0.593316069740524,0.607017543859649,0.946184738955823,0.516663143803283,0.187171934494562,0.483618685267385,-0.0400771826537292,0.087719298245614,0.879518072289157,0.385809906291834,0.557276824925637,6.64279794692993
36,FALSE,0.930275487916579,0.790882016619664,0.787782709786514,0.618692771961977,0.624561403508772,0.951004016064257,0.43986472204608,0.155756150594761,0.476854787571338,-0.0581018518585704,0.0701754385964912,0.883534136546185,0.4904107658705,0.635125866024902,6.5647919178009
37,FALSE,0.908659198196294,0.712642205877866,0.750940604523357,0.559919203907386,0.550877192982456,0.951004016064257,0.471711407031635,0.190343879410524,0.503170577045022,0.0076625315479046,0.12280701754386,0.883534136546185,0.436947791164659,0.522298326467342,6.6362030506134
38,FALSE,0.886831536673009,0.681010861494026,0.732086239695625,0.513450740517714,0.52280701754386,0.94136546184739,0.441767068273092,0.154964641625393,0.477383217078842,-0.0681753562855982,0.0350877192982456,0.919678714859438,0.445064468399917,0.526046219868634,6.50185894966125
39,FALSE,0.83124075248362,0.530385456689706,0.666476432043965,0.405732097099264,0.385964912280702,0.946987951807229,0.490100753892765,0.180084741883288,0.503699006552526,0.0105154783459522,0.087719298245614,0.919678714859438,0.341139998590855,0.350300714806418,6.64853692054749
40,FALSE,0.916944972873952,0.763866144692756,0.769541323187487,0.599444024162371,0.582456140350877,0.956626506024096,0.414993306559571,0.174804337219344,0.494187275417459,-0.0187555193281926,0.0526315789473684,0.93574297188755,0.501951666314381,0.589061807473412,6.35974311828613
41,FALSE,0.917001338688086,0.722210714403771,0.782625237793278,0.621745546746525,0.607017543859649,0.958232931726908,0.451701543014162,0.164339442121764,0.489431409849926,-0.0369679325449436,0.0350877192982456,0.943775100401606,0.465299795673924,0.557871272282007,6.31029295921326
42,FALSE,0.867977171845276,0.602725799398659,0.676601141407736,0.423866425867618,0.407017543859649,0.946184738955823,0.529486366518707,0.2220336230505,0.514478968505601,0.0411605866684416,0.105263157894737,0.923694779116466,0.33849080532657,0.380692176348159,6.37370204925537
43,FALSE,0.902036215035582,0.706006165484773,0.725533713802579,0.532785145258295,0.491228070175439,0.959839357429719,0.607059818220249,0.294548730962306,0.553582752060875,0.147098460984828,0.175438596491228,0.931726907630522,0.294976396815333,0.411457434522467,6.51903200149536
44,FALSE,0.949806242513914,0.832488156219984,0.805284295075037,0.662402287169089,0.649122807017544,0.96144578313253,0.521172408933981,0.205241034492382,0.523990699640668,0.0619102869148224,0.140350877192982,0.907630522088353,0.428633833579933,0.627247121727602,7.0792248249054
45,FALSE,0.966236877333897,0.895934966568007,0.852758402029169,0.745050122993408,0.736842105263158,0.968674698795181,0.506869583597549,0.185518800468789,0.49566687803847,-0.011519380573009,0.087719298245614,0.903614457831325,0.459367293736349,0.710416166099218,6.97060203552246
46,FALSE,0.935447051363348,0.778313867337292,0.768738110336081,0.59529857330042,0.582456140350877,0.955020080321285,0.471852321566969,0.172540415604399,0.500951173113507,0.00292950730570781,0.0701754385964912,0.931726907630522,0.463594729796379,0.605773451732892,7.01878118515015
47,FALSE,0.823575001761433,0.459636955705811,0.596639188332276,0.243818135073486,0.263157894736842,0.930120481927711,0.558303388994574,0.216560045926955,0.499682942295498,-0.000870405094584779,0.087719298245614,0.911646586345382,0.265271612766858,0.243076909778855,7.38608002662659
48,FALSE,0.912492073557388,0.758528525901134,0.78427393785669,0.613182305044542,0.617543859649123,0.951004016064257,0.479602621010357,0.200319368837026,0.509934474741069,0.0234559383564876,0.140350877192982,0.879518072289157,0.432889452547031,0.558209157064108,6.69389200210571
49,FALSE,0.846191784682591,0.565182655785365,0.66000845487212,0.390119171902502,0.375438596491228,0.944578313253012,0.473966039596984,0.186660745624799,0.494927076727964,-0.0146924836363961,0.0701754385964912,0.919678714859438,0.372225745085607,0.378521910160565,6.73287510871887
50,FALSE,0.78858592263792,0.464988928555841,0.614098499260199,0.307858796252488,0.27719298245614,0.951004016064257,0.471852321566969,0.172503189387227,0.499682942295498,-0.000870405094584779,0.087719298245614,0.911646586345382,0.316733601070951,0.292485739168614,6.79804801940918
51,FALSE,0.899922497005567,0.737323478464495,0.754407102092581,0.583367160986452,0.547368421052632,0.96144578313253,0.472415979708307,0.170414418465424,0.490171211160431,-0.030271575492314,0.0526315789473684,0.927710843373494,0.42750651729726,0.566909059999071,6.56029391288757
52,FALSE,0.865187064045657,0.659161351819016,0.70568590150074,0.505081908484092,0.449122807017544,0.962248995983936,0.46339744944691,0.179913132082271,0.521242866201649,0.0583171413371802,0.12280701754386,0.919678714859438,0.401789614598747,0.479248219736744,6.66445899009705
53,FALSE,0.894708659198197,0.691529699207367,0.71720566476432,0.50233249061627,0.48421052631579,0.950200803212851,0.513422109490594,0.185476247657358,0.486155146903403,-0.0408882302184713,0.0526315789473684,0.919678714859438,0.381286549707603,0.50605345155001,6.52551603317261
54,FALSE,0.907137321214684,0.722035109564996,0.761023039526527,0.592944372093122,0.56140350877193,0.960642570281124,0.516169942929613,0.182765764201699,0.486155146903403,-0.0408882302184713,0.0526315789473684,0.919678714859438,0.390967378285071,0.539269345363297,6.54477000236511
55,FALSE,0.837581906573663,0.606776968942003,0.68427393785669,0.44498694009331,0.417543859649123,0.951004016064257,0.466215740153597,0.166666619271493,0.474106954132319,-0.068835322936273,0.0526315789473684,0.895582329317269,0.371366166420067,0.440110349670511,6.60728096961975
56,FALSE,0.957810188120905,0.86192305223183,0.841027266962587,0.723135859854136,0.71578947368421,0.966265060240964,0.515042626646938,0.192934860529649,0.506446839991545,0.0171385906086231,0.105263157894737,0.907630522088353,0.442767561473967,0.668988191702181,6.87141609191895
57,FALSE,0.865778905094062,0.62885367344014,0.701162544916508,0.467587717357507,0.456140350877193,0.946184738955823,0.609173536250265,0.288528333978148,0.534030860283238,0.0950329772630257,0.140350877192982,0.927710843373494,0.256605368843797,0.340325339461992,6.91739296913147
58,FALSE,0.833171281617699,0.513552017014717,0.629634326780807,0.334493624371379,0.312280701754386,0.946987951807229,0.450433312196153,0.164694599168518,0.48287888395688,-0.0448315753034882,0.0701754385964912,0.895582329317269,0.382737969421546,0.348857417846199,6.96081495285034
59,FALSE,0.853984358486579,0.605035826054304,0.665081378144156,0.423064831226433,0.371929824561403,0.958232931726908,0.512999365884591,0.217165837126376,0.509194673430564,0.0230815575876512,0.12280701754386,0.895582329317269,0.340984992601987,0.387869988927928,6.97315001487732
60,FALSE,0.829239766081872,0.535513039343686,0.605389980976538,0.322675332283515,0.242105263157895,0.968674698795181,0.539702670330444,0.207175685381287,0.521242866201649,0.0583171413371802,0.12280701754386,0.919678714859438,0.289537095751427,0.328337353962399,6.8476779460907
61,FALSE,0.883830057070388,0.704032788660231,0.747833439019235,0.554953876160198,0.543859649122807,0.951807228915663,0.468963573592615,0.167076011585509,0.470619319382794,-0.0925616174185779,0.0175438596491228,0.923694779116466,0.414866483477773,0.536956777074722,6.63160610198975
62,FALSE,0.933939265835272,0.83082240102873,0.811350665821179,0.673583625647106,0.659649122807018,0.963052208835341,0.448390051433805,0.189723179194898,0.521242866201649,0.0583171413371802,0.12280701754386,0.919678714859438,0.485549214401468,0.641099221833832,6.55641603469849
