"statistic","observed","reference_value","null_mean","null_sd","null_p2.5","null_p97.5","frac_null_above_reference","p_obs_ge_null","n_perm"
"leaky_auroc",0.783,0.5,0.8778,0.0512,0.7566,0.9575,1,0.951,1000
"guarded_auroc",0.7032,0.5,0.4917,0.0514,0.3902,0.5836,0.43,0.001,1000
"gap_auroc",0.0799,0,0.386,0.0753,0.2271,0.5209,1,1,1000
"leaky_pr_auc",0.4257,0.1863,0.6623,0.1162,0.4087,0.8592,1,0.966,1000
"guarded_pr_auc",0.3476,0.1863,0.1898,0.0293,0.1465,0.2622,0.48,0.001,1000
"gap_pr_auc",0.0781,0,0.4725,0.1215,0.2124,0.6819,1,1,1000
