"fold","rank","feature"
3,33,"219051_x_at"
3,34,"209290_s_at"
3,35,"212492_s_at"
3,36,"216092_s_at"
3,37,"213029_at"
3,38,"202134_s_at"
3,39,"212956_at"
3,40,"208165_s_at"
3,41,"214745_at"
3,42,"208103_s_at"
3,43,"212265_at"
3,44,"210084_x_at"
3,45,"210052_s_at"
3,46,"204822_at"
3,47,"221505_at"
3,48,"218164_at"
3,49,"211931_s_at"
3,50,"1438_at"
3,51,"209211_at"
3,52,"202263_at"
3,53,"212960_at"
3,54,"206392_s_at"
3,55,"206194_at"
3,56,"218902_at"
3,57,"205074_at"
3,58,"203358_s_at"
3,59,"222275_at"
3,60,"202412_s_at"
3,61,"214440_at"
3,62,"202933_s_at"
3,63,"200052_s_at"
3,64,"203999_at"
3,65,"211466_at"
3,66,"200718_s_at"
3,67,"205044_at"
3,68,"201177_s_at"
3,69,"219752_at"
3,70,"204775_at"
3,71,"218886_at"
3,72,"204304_s_at"
3,73,"214496_x_at"
3,74,"201231_s_at"
3,75,"217744_s_at"
3,76,"206391_at"
3,77,"213249_at"
3,78,"201938_at"
3,79,"211084_x_at"
3,80,"209109_s_at"
3,81,"201663_s_at"
3,82,"203066_at"
3,83,"214431_at"
3,84,"212022_s_at"
3,85,"201563_at"
3,86,"203458_at"
3,87,"218726_at"
3,88,"208872_s_at"
3,89,"214428_x_at"
3,90,"207039_at"
3,91,"204240_s_at"
3,92,"209604_s_at"
3,93,"205696_s_at"
3,94,"206373_at"
3,95,"221872_at"
3,96,"214109_at"
3,97,"222039_at"
3,98,"210074_at"
3,99,"208451_s_at"
3,100,"218868_at"
4,1,"204825_at"
4,2,"203999_at"
4,3,"210084_x_at"
4,4,"204750_s_at"
4,5,"216237_s_at"
4,6,"213134_x_at"
4,7,"210052_s_at"
4,8,"219874_at"
4,9,"202483_s_at"
4,10,"205548_s_at"
4,11,"218726_at"
4,12,"205225_at"
4,13,"209832_s_at"
4,14,"201755_at"
4,15,"220238_s_at"
4,16,"215034_s_at"
4,17,"204822_at"
4,18,"204400_at"
4,19,"203038_at"
4,20,"203702_s_at"
4,21,"204203_at"
4,22,"209642_at"
4,23,"204315_s_at"
4,24,"218259_at"
4,25,"200052_s_at"
4,26,"204962_s_at"
4,27,"204775_at"
4,28,"217640_x_at"
4,29,"212330_at"
4,30,"209604_s_at"
4,31,"221864_at"
4,32,"221436_s_at"
4,33,"222275_at"
4,34,"214431_at"
4,35,"206392_s_at"
4,36,"214109_at"
4,37,"221520_s_at"
4,38,"214053_at"
4,39,"202870_s_at"
4,40,"212956_at"
4,41,"203693_s_at"
4,42,"220935_s_at"
4,43,"202134_s_at"
4,44,"204481_at"
4,45,"221524_s_at"
4,46,"209623_at"
4,47,"221986_s_at"
4,48,"213702_x_at"
4,49,"210074_at"
4,50,"209421_at"
4,51,"218542_at"
4,52,"218902_at"
4,53,"221203_s_at"
4,54,"201663_s_at"
4,55,"205339_at"
4,56,"206391_at"
4,57,"212022_s_at"
4,58,"202933_s_at"
4,59,"218211_s_at"
4,60,"222039_at"
4,61,"218755_at"
4,62,"200718_s_at"
4,63,"209464_at"
4,64,"208854_s_at"
4,65,"221872_at"
4,66,"203418_at"
4,67,"206194_at"
4,68,"212099_at"
4,69,"219990_at"
4,70,"222118_at"
4,71,"216685_s_at"
4,72,"209386_at"
4,73,"203929_s_at"
4,74,"219051_x_at"
4,75,"205296_at"
4,76,"200881_s_at"
4,77,"209204_at"
4,78,"219650_at"
4,79,"210024_s_at"
4,80,"217352_at"
4,81,"212960_at"
4,82,"214428_x_at"
4,83,"209387_s_at"
4,84,"202240_at"
4,85,"201970_s_at"
4,86,"218394_at"
4,87,"209747_at"
4,88,"40016_g_at"
4,89,"208961_s_at"
4,90,"217924_at"
4,91,"218009_s_at"
4,92,"205394_at"
4,93,"212441_at"
4,94,"214440_at"
4,95,"214746_s_at"
4,96,"201231_s_at"
4,97,"216092_s_at"
4,98,"221934_s_at"
4,99,"219197_s_at"
4,100,"213032_at"
5,1,"204750_s_at"
5,2,"213032_at"
5,3,"205225_at"
5,4,"209289_at"
5,5,"213029_at"
5,6,"209290_s_at"
5,7,"204825_at"
5,8,"203999_at"
5,9,"212099_at"
5,10,"212956_at"
5,11,"210084_x_at"
5,12,"205548_s_at"
5,13,"203693_s_at"
5,14,"206373_at"
5,15,"214440_at"
5,16,"212960_at"
5,17,"201970_s_at"
5,18,"222275_at"
5,19,"212638_s_at"
5,20,"218211_s_at"
5,21,"213134_x_at"
5,22,"214431_at"
5,23,"221677_s_at"
5,24,"218532_s_at"
5,25,"210052_s_at"
5,26,"203066_at"
5,27,"219051_x_at"
5,28,"200718_s_at"
